asset_id,unit_id,period,in_scope,asset_criticality,qds_max,oldest_critical_age_days,kev_count
A00001,SALES,P2,1,3,54,16,0
A00002,SALES,P2,1,3,47,48,0
A00003,SALES,P2,1,3,65,25,0
A00004,SALES,P2,1,3,58,49,0
A00005,SALES,P2,1,3,33,16,0
A00006,SALES,P2,0,0,0,0,0
A00007,SALES,P2,1,5,22,4,0
A00008,SALES,P2,0,0,0,0,0
A00009,SALES,P2,0,0,0,0,0
A00010,SALES,P2,1,3,58,20,0
A00011,SALES,P2,1,2,24,115,0
A00012,SALES,P2,1,2,73,5,0
A00013,SALES,P2,1,2,46,62,0
A00014,SALES,P2,1,3,66,71,0
A00015,SALES,P2,1,4,65,29,0
A00016,SALES,P2,1,2,50,17,0
A00017,SALES,P2,1,3,62,8,0
A00018,SALES,P2,1,3,87,56,1
A00019,SALES,P2,1,3,59,33,0
A00020,SALES,P2,1,4,72,42,0
A00021,SALES,P2,1,2,58,81,0
A00022,SALES,P2,1,4,57,120,0
A00023,SALES,P2,1,3,36,17,0
A00024,SALES,P2,1,2,60,28,0
A00025,SALES,P2,1,2,69,66,0
A00026,SALES,P2,1,4,18,49,0
A00027,SALES,P2,1,4,55,105,0
A00028,SALES,P2,1,3,61,30,0
A00029,SALES,P2,1,3,38,26,0
A00030,SALES,P2,1,1,25,33,0
A00031,SALES,P2,1,1,41,47,0
A00032,SALES,P2,1,2,14,135,0
A00033,SALES,P2,1,2,38,47,0
A00034,SALES,P2,1,4,38,17,0
A00035,SALES,P2,1,2,64,3,0
A00036,SALES,P2,1,4,49,3,0
A00037,SALES,P2,1,2,42,86,0
A00038,SALES,P2,1,2,89,249,1
A00039,SALES,P2,1,4,44,38,0
A00040,SALES,P2,1,2,51,22,0
A00041,SALES,P2,1,3,65,50,0
A00042,SALES,P2,1,3,42,27,0
A00043,SALES,P2,1,1,36,80,0
A00044,SALES,P2,1,2,29,24,0
A00045,SALES,P2,1,4,57,78,0
A00046,SALES,P2,1,5,54,14,0
A00047,SALES,P2,1,3,93,5,2
A00048,SALES,P2,1,4,36,23,0
A00049,SALES,P2,1,3,37,101,0
A00050,SALES,P2,1,2,49,17,0
A00051,SALES,P2,1,4,45,24,0
A00052,SALES,P2,1,2,79,19,0
A00053,SALES,P2,1,3,40,15,0
A00054,SALES,P2,1,2,26,15,0
A00055,SALES,P2,1,4,60,57,0
A00056,SALES,P2,1,2,39,2,0
A00057,SALES,P2,1,3,47,3,0
A00058,SALES,P2,1,3,48,16,0
A00059,SALES,P2,1,3,62,16,0
A00060,SALES,P2,1,3,53,51,0
A00061,SALES,P2,1,4,41,60,0
A00062,SALES,P2,1,3,41,9,0
A00063,SALES,P2,1,3,46,9,0
A00064,SALES,P2,1,2,65,3,0
A00065,SALES,P2,1,3,48,2,0
A00066,SALES,P2,1,3,39,13,0
A00067,SALES,P2,1,3,76,136,0
A00068,SALES,P2,1,3,18,17,0
A00069,SALES,P2,1,3,39,4,0
A00070,SALES,P2,0,0,0,0,0
A00071,SALES,P2,1,3,15,60,0
A00072,SALES,P2,1,2,45,12,0
A00073,SALES,P2,1,4,66,38,0
A00074,SALES,P2,1,3,63,34,0
A00075,SALES,P2,1,2,39,77,0
A00076,SALES,P2,1,4,33,66,0
A00077,SALES,P2,0,0,0,0,0
A00078,SALES,P2,1,3,59,25,0
A00079,SALES,P2,1,2,70,3,0
A00080,SALES,P2,1,4,34,10,0
A00081,SALES,P2,1,4,35,11,0
A00082,SALES,P2,1,3,15,7,0
A00083,SALES,P2,1,3,62,158,0
A00084,SALES,P2,0,0,0,0,0
A00085,SALES,P2,1,1,17,29,0
A00086,SALES,P2,1,3,64,40,0
A00087,SALES,P2,1,2,22,42,0
A00088,SALES,P2,1,3,56,17,0
A00089,SALES,P2,1,2,15,179,0
