asset_id,unit_id,period,in_scope,asset_criticality,qds_max,oldest_critical_age_days,kev_count
A00001,SALES,P1,1,4,56,235,0
A00002,SALES,P1,1,3,60,10,0
A00003,SALES,P1,1,3,62,21,0
A00004,SALES,P1,1,4,69,10,0
A00005,SALES,P1,1,3,42,29,0
A00006,SALES,P1,0,0,0,0,0
A00007,SALES,P1,1,4,79,32,0
A00008,SALES,P1,0,0,0,0,0
A00009,SALES,P1,0,0,0,0,0
A00010,SALES,P1,1,1,59,17,0
A00011,SALES,P1,1,3,50,99,0
A00012,SALES,P1,1,3,56,77,0
A00013,SALES,P1,1,2,20,19,0
A00014,SALES,P1,1,2,64,9,0
A00015,SALES,P1,1,2,70,3,0
A00016,SALES,P1,1,4,40,3,0
A00017,SALES,P1,1,1,52,3,0
A00018,SALES,P1,1,2,90,13,1
A00019,SALES,P1,1,3,61,14,0
A00020,SALES,P1,1,2,61,82,0
A00021,SALES,P1,1,4,43,31,0
A00022,SALES,P1,1,4,23,33,0
A00023,SALES,P1,1,3,57,30,0
A00024,SALES,P1,1,2,54,17,0
A00025,SALES,P1,1,3,60,78,0
A00026,SALES,P1,1,4,58,39,0
A00027,SALES,P1,1,2,63,10,0
A00028,SALES,P1,1,4,27,12,0
A00029,SALES,P1,1,5,34,33,0
A00030,SALES,P1,1,2,55,29,0
A00031,SALES,P1,1,3,62,28,0
A00032,SALES,P1,1,2,31,20,0
A00033,SALES,P1,1,5,59,1,0
A00034,SALES,P1,1,3,33,0,0
A00035,SALES,P1,1,3,80,21,0
A00036,SALES,P1,1,3,63,24,0
A00037,SALES,P1,1,2,42,108,0
A00038,SALES,P1,1,2,80,1,0
A00039,SALES,P1,1,2,44,41,0
A00040,SALES,P1,1,3,69,69,0
A00041,SALES,P1,1,3,71,42,0
A00042,SALES,P1,1,3,43,54,0
A00043,SALES,P1,1,4,52,43,0
A00044,SALES,P1,1,2,11,8,0
A00045,SALES,P1,1,4,22,73,0
A00046,SALES,P1,1,3,38,65,0
A00047,SALES,P1,1,3,72,7,0
A00048,SALES,P1,1,4,60,48,0
A00049,SALES,P1,1,4,56,33,0
A00050,SALES,P1,1,4,58,5,0
A00051,SALES,P1,1,2,55,20,0
A00052,SALES,P1,1,3,43,158,0
A00053,SALES,P1,1,3,46,1,0
A00054,SALES,P1,1,3,57,121,0
A00055,SALES,P1,1,2,54,62,0
A00056,SALES,P1,1,4,57,59,0
A00057,SALES,P1,1,3,34,13,0
A00058,SALES,P1,1,3,43,1,0
A00059,SALES,P1,1,2,25,94,0
A00060,SALES,P1,1,3,41,12,0
A00061,SALES,P1,1,3,45,53,0
A00062,SALES,P1,1,4,48,19,0
A00063,SALES,P1,1,2,60,1,0
A00064,SALES,P1,1,3,61,24,0
A00065,SALES,P1,1,3,49,28,0
A00066,SALES,P1,1,2,64,14,0
A00067,SALES,P1,1,2,53,16,0
A00068,SALES,P1,1,3,45,61,0
A00069,SALES,P1,1,4,54,1,0
A00070,SALES,P1,0,0,0,0,0
A00071,SALES,P1,1,3,34,4,0
A00072,SALES,P1,1,4,43,26,0
A00073,SALES,P1,1,1,33,82,0
A00074,SALES,P1,1,3,52,41,0
A00075,SALES,P1,1,3,25,75,0
A00076,SALES,P1,1,3,61,95,0
A00077,SALES,P1,0,0,0,0,0
A00078,SALES,P1,1,4,42,8,0
A00079,SALES,P1,1,3,53,41,0
A00080,SALES,P1,1,4,70,26,0
A00081,SALES,P1,1,3,40,57,0
A00082,SALES,P1,1,3,63,1,0
A00083,SALES,P1,1,2,49,13,0
A00084,SALES,P1,0,0,0,0,0
A00085,SALES,P1,1,2,49,15,0
A00086,SALES,P1,1,4,25,11,0
A00087,SALES,P1,1,4,58,43,0
A00088,SALES,P1,1,3,44,2,0
A00089,SALES,P1,1,2,47,78,0
A00090,SALES,P1,1,3,57,17,0
A00091,SALES,P1,1,3,22,71,0
A00092,SALES,P1,0,0,0,0,0
A00093,SALES,P1,1,1,60,17,0
A00094,SALES,P1,1,2,44,27,0
A00095,SALES,P1,1,2,59,43,0
A00096,SALES,P1,1,3,55,22,0
A00097,SALES,P1,1,2,44,44,0
A00098,SALES,P1,1,3,34,11,0
A00099,SALES,P1,1,3,65,86,0
A00100,SALES,P1,0,0,0,0,0
A00101,SALES,P1,1,4,43,121,0
A00102,SALES,P1,1,4,45,4,0
A00103,SALES,P1,1,4,64,12,0
A00104,SALES,P1,1,4,61,4,0
A00105,SALES,P1,1,5,52,23,0
A00106,SALES,P1,1,4,54,107,0
A00107,SALES,P1,1,3,69,133,0
A00108,SALES,P1,1,2,39,100,0
A00109,SALES,P1,1,2,55,8,0
A00110,SALES,P1,1,4,39,34,0
A00111,SALES,P1,1,2,78,48,0
A00112,SALES,P1,1,2,44,51,0
A00113,SALES,P1,1,4,48,50,0
