person_id,unit_id,period,in_scope,phish_sent,phish_clicked,phish_reported,credential_submitted,training_assigned,training_completed
P00001,SALES,P1,1,4,1,0,1,3,2
P00002,SALES,P1,1,3,1,0,0,3,3
P00003,SALES,P1,1,4,0,0,0,3,1
P00004,SALES,P1,1,3,2,0,0,4,3
P00005,SALES,P1,1,4,1,0,1,3,2
P00006,SALES,P1,1,3,0,0,0,2,2
P00007,SALES,P1,1,3,2,0,2,4,1
P00008,SALES,P1,1,3,2,0,1,3,3
P00009,SALES,P1,1,4,1,0,0,3,3
P00010,SALES,P1,1,3,1,1,0,3,1
P00011,SALES,P1,0,0,0,0,0,0,0
P00012,SALES,P1,1,5,3,0,1,4,4
P00013,SALES,P1,0,0,0,0,0,0,0
P00014,SALES,P1,1,4,1,1,0,3,1
P00015,SALES,P1,1,4,2,1,1,3,2
P00016,SALES,P1,1,4,1,0,1,2,2
P00017,SALES,P1,1,3,1,0,1,3,3
P00018,SALES,P1,1,4,1,0,1,3,2
P00019,SALES,P1,1,4,0,2,0,2,1
P00020,SALES,P1,1,5,0,0,0,4,1
P00021,SALES,P1,1,3,0,1,0,3,2
P00022,SALES,P1,1,5,1,1,1,2,2
P00023,SALES,P1,1,5,0,0,0,4,3
P00024,SALES,P1,1,5,1,0,0,4,2
P00025,SALES,P1,1,3,1,0,0,4,1
P00026,SALES,P1,1,4,0,0,0,2,2
P00027,SALES,P1,1,4,0,1,0,2,0
P00028,SALES,P1,1,5,2,1,2,4,3
P00029,SALES,P1,1,4,1,0,1,4,2
P00030,SALES,P1,0,0,0,0,0,0,0
P00031,SALES,P1,1,5,1,2,1,3,2
P00032,SALES,P1,1,4,2,1,1,3,2
P00033,SALES,P1,1,3,2,0,1,4,2
P00034,SALES,P1,1,3,0,0,0,2,1
P00035,SALES,P1,1,4,1,0,1,3,2
P00036,SALES,P1,1,4,0,0,0,3,1
P00037,SALES,P1,1,3,1,0,1,2,1
P00038,SALES,P1,1,3,0,0,0,4,2
P00039,SALES,P1,1,5,3,1,3,3,2
P00040,SALES,P1,1,3,1,0,0,3,1
P00041,SALES,P1,1,3,0,0,0,4,3
P00042,SALES,P1,1,4,1,0,1,3,3
P00043,SALES,P1,1,4,0,0,0,2,2
P00044,SALES,P1,1,3,0,0,0,2,1
P00045,SALES,P1,1,3,1,0,0,3,2
P00046,SALES,P1,1,5,2,0,2,3,2
P00047,SALES,P1,1,3,3,0,0,3,3
P00048,SALES,P1,1,4,2,0,1,4,4
P00049,SALES,P1,1,4,1,2,1,3,1
P00050,SALES,P1,1,5,3,0,3,3,1
P00051,SALES,P1,1,4,1,0,1,2,1
P00052,SALES,P1,1,5,2,0,1,4,3
P00053,SALES,P1,1,3,0,0,0,4,3
P00054,SALES,P1,1,4,1,0,0,2,1
P00055,SALES,P1,1,3,2,0,0,4,3
P00056,SALES,P1,0,0,0,0,0,0,0
P00057,SALES,P1,1,4,3,0,1,3,2
P00058,SALES,P1,1,4,0,0,0,4,3
P00059,SALES,P1,1,5,1,0,0,4,4
P00060,SALES,P1,1,4,2,1,1,3,3
P00061,SALES,P1,1,5,1,1,1,2,0
P00062,SALES,P1,1,4,0,0,0,3,2
P00063,SALES,P1,1,3,1,0,0,2,2
P00064,SALES,P1,1,5,0,0,0,3,2
P00065,SALES,P1,1,5,2,0,1,3,3
P00066,SALES,P1,1,5,1,0,1,4,3
P00067,SALES,P1,1,4,1,0,0,3,2
P00068,SALES,P1,1,3,3,1,1,4,3
P00069,SALES,P1,0,0,0,0,0,0,0
P00070,SALES,P1,1,3,1,0,0,4,2
P00071,SALES,P1,1,3,0,1,0,3,3
P00072,SALES,P1,1,4,1,0,1,4,2
P00073,SALES,P1,1,3,2,1,0,2,2
P00074,SALES,P1,1,3,1,1,1,4,2
P00075,SALES,P1,1,4,0,0,0,3,2
P00076,SALES,P1,1,3,1,1,1,2,0
P00077,SALES,P1,1,5,2,0,1,3,1
P00078,SALES,P1,1,4,0,1,0,3,1
P00079,SALES,P1,1,5,0,2,0,2,0
P00080,SALES,P1,1,4,1,0,1,3,2
P00081,SALES,P1,1,5,0,0,0,4,4
P00082,SALES,P1,1,3,2,1,0,3,2
P00083,SALES,P1,1,4,0,1,0,4,3
P00084,SALES,P1,1,4,2,0,1,4,2
P00085,SALES,P1,1,4,0,0,0,4,3
P00086,SALES,P1,1,4,1,0,1,3,3
P00087,SALES,P1,1,4,0,0,0,2,2
P00088,SALES,P1,1,5,1,0,0,2,2
P00089,SALES,P1,1,4,0,0,0,4,2
P00090,SALES,P1,1,4,1,1,1,4,3
P00091,SALES,P1,1,4,2,0,0,3,1
P00092,SALES,P1,1,4,1,1,1,2,2
P00093,SALES,P1,1,4,2,0,1,3,3
P00094,SALES,P1,1,4,1,0,0,3,2
P00095,SALES,P1,1,4,0,0,0,2,1
P00096,SALES,P1,1,4,2,0,1,4,3
P00097,SALES,P1,1,4,2,1,0,3,3
P00098,SALES,P1,1,4,0,0,0,2,2
P00099,SALES,P1,1,5,2,0,1,2,2
P00100,SALES,P1,1,3,2,0,0,3,2
P00101,SALES,P1,1,5,2,0,1,3,3
P00102,SALES,P1,1,4,2,0,2,4,3
P00103,SALES,P1,1,4,1,1,0,4,3
P00104,SALES,P1,1,5,0,1,0,2,1
P00105,SALES,P1,1,4,1,0,0,3,3
P00106,SALES,P1,1,4,0,0,0,4,2
P00107,SALES,P1,1,3,1,0,0,2,1
P00108,SALES,P1,1,4,2,0,1,2,0
P00109,SALES,P1,1,5,0,1,0,3,2
P00110,SALES,P1,1,4,1,0,0,3,2
P00111,SALES,P1,0,0,0,0,0,0,0
P00112,SALES,P1,1,5,1,0,0,2,2
P00113,SALES,P1,1,4,2,0,1,2,2
P00114,SALES,P1,1,4,0,0,0,2,0
P00115,SALES,P1,1,4,0,0,0,3,3
P00116,SALES,P1,1,5,1,1,1,3,2
P00117,SALES,P1,1,3,1,0,1,3,2
P00118,SALES,P1,1,4,2,0,2,2,2
P00119,SALES,P1,1,4,2,0,1,3,1
P00120,SALES,P1,1,5,2,0,1,3,3
P00121,SALES,P1,1,3,1,1,0,3,3
P00122,SALES,P1,1,4,0,0,0,3,3
P00123,SALES,P1,1,5,0,0,0,3,1
P00124,SALES,P1,1,3,1,0,0,3,1
P00125,SALES,P1,1,4,1,0,0,2,0
P00126,SALES,P1,1,4,1,0,1,2,0
P00127,SALES,P1,1,4,0,0,0,3,1
P00128,SALES,P1,1,4,1,1,1,4,3
P00129,SALES,P1,1,4,0,0,0,3,2
P00130,SALES,P1,1,4,1,1,0,4,0
P00131,SALES,P1,0,0,0,0,0,0,0
P00132,SALES,P1,1,5,1,0,1,3,3
P00133,SALES,P1,1,4,1,0,0,2,2
P00134,SALES,P1,1,3,0,1,0,3,1
P00135,SALES,P1,1,5,0,0,0,2,1
P00136,SALES,P1,1,5,1,0,0,4,2
P00137,SALES,P1,1,5,1,1,1,4,4
P00138,SALES,P1,0,0,0,0,0,0,0
P00139,SALES,P1,1,4,1,1,0,3,1
P00140,SALES,P1,1,3,1,0,0,4,3
P00141,SALES,P1,1,3,0,0,0,3,3
P00142,SALES,P1,1,5,1,1,1,4,4
P00143,SALES,P1,1,4,0,0,0,3,2
P00144,SALES,P1,1,4,0,0,0,2,2
P00145,SALES,P1,1,5,0,0,0,3,2
P00146,SALES,P1,1,4,3,0,1,2,0
P00147,SALES,P1,1,3,2,0,2,3,2
P00148,SALES,P1,1,4,0,1,0,2,2
P00149,SALES,P1,1,4,0,0,0,3,2
P00150,SALES,P1,1,4,0,0,0,3,1
P00151,SALES,P1,1,4,1,0,0,3,2
P00152,SALES,P1,1,5,1,0,1,3,2
P00153,SALES,P1,1,4,1,1,0,3,1
P00154,SALES,P1,1,3,1,2,1,3,0
P00155,SALES,P1,1,3,1,0,0,3,2
P00156,SALES,P1,1,4,2,0,2,2,1
P00157,SALES,P1,1,3,1,1,1,3,2
P00158,SALES,P1,1,3,2,1,0,4,1
P00159,SALES,P1,0,0,0,0,0,0,0
P00160,SALES,P1,1,5,1,0,1,2,1
P00161,SALES,P1,1,3,1,0,0,2,2
P00162,SALES,P1,1,4,2,0,0,3,1
P00163,SALES,P1,0,0,0,0,0,0,0
P00164,SALES,P1,1,5,0,0,0,3,2
P00165,SALES,P1,1,4,0,2,0,3,1
P00166,SALES,P1,1,4,0,0,0,3,1
P00167,SALES,P1,1,4,0,1,0,4,3
P00168,SALES,P1,1,5,0,2,0,3,3
P00169,SALES,P1,1,3,1,0,1,2,1
P00170,SALES,P1,1,4,0,0,0,3,3
P00171,SALES,P1,1,5,0,0,0,4,4
P00172,SALES,P1,1,5,1,1,0,4,2
P00173,SALES,P1,1,4,0,0,0,3,2
P00174,SALES,P1,1,4,0,0,0,2,1
P00175,SALES,P1,1,4,3,0,2,3,3
P00176,SALES,P1,1,4,2,0,1,3,3
P00177,SALES,P1,1,4,0,0,0,3,1
P00178,SALES,P1,1,4,0,0,0,3,1
P00179,SALES,P1,1,4,2,1,0,3,2
P00180,SALES,P1,1,5,0,0,0,3,3
P00181,SALES,P1,1,4,0,0,0,4,3
P00182,SALES,P1,1,4,1,1,0,3,3
P00183,SALES,P1,1,3,0,1,0,3,2
P00184,SALES,P1,1,5,0,0,0,2,1
P00185,SALES,P1,1,4,1,2,0,3,2
P00186,SALES,P1,1,4,0,0,0,4,3
P00187,SALES,P1,1,4,0,0,0,2,2
P00188,SALES,P1,0,0,0,0,0,0,0
P00189,SALES,P1,1,4,0,0,0,4,4
P00190,SALES,P1,1,4,2,0,1,3,1
P00191,SALES,P1,1,4,1,2,0,2,0
P00192,SALES,P1,0,0,0,0,0,0,0
P00193,SALES,P1,1,3,1,1,1,3,3
P00194,SALES,P1,1,5,1,0,1,3,3
P00195,SALES,P1,0,0,0,0,0,0,0
P00196,SALES,P1,1,3,1,0,0,3,2
P00197,SALES,P1,1,4,1,0,0,4,4
P00198,SALES,P1,1,3,1,0,1,3,3
P00199,SALES,P1,1,3,0,0,0,4,4
P00200,SALES,P1,0,0,0,0,0,0,0
P00201,SALES,P1,1,3,0,1,0,4,3
P00202,SALES,P1,1,3,1,0,0,2,2
P00203,SALES,P1,1,4,0,0,0,3,3
P00204,SALES,P1,0,0,0,0,0,0,0
P00205,SALES,P1,1,3,1,0,1,4,3
P00206,SALES,P1,1,5,3,0,1,3,2
P00207,SALES,P1,1,4,1,1,1,3,1
P00208,SALES,P1,1,4,1,0,0,4,4
P00209,SALES,P1,0,0,0,0,0,0,0
P00210,SALES,P1,1,4,2,0,2,3,1
P00211,SALES,P1,1,4,0,1,0,4,4
P00212,SALES,P1,0,0,0,0,0,0,0
P00213,SALES,P1,1,5,1,0,0,3,3
P00214,SALES,P1,1,4,0,1,0,3,3
P00215,SALES,P1,1,5,1,0,1,4,2
P00216,SALES,P1,1,4,1,1,0,4,4
P00217,SALES,P1,1,4,1,0,0,3,3
P00218,SALES,P1,1,3,0,0,0,2,1
P00219,SALES,P1,1,4,2,0,0,2,1
P00220,SALES,P1,1,5,4,0,1,4,3
P00221,SALES,P1,1,4,1,1,0,4,4
P00222,SALES,P1,0,0,0,0,0,0,0
P00223,SALES,P1,1,4,1,0,1,3,2
P00224,SALES,P1,1,5,2,1,1,2,0
P00225,SALES,P1,1,3,0,1,0,2,2
P00226,SALES,P1,1,5,1,2,0,4,4
P00227,SALES,P1,1,4,3,0,1,3,3
P00228,SALES,P1,1,5,0,0,0,3,2
P00229,SALES,P1,1,5,1,1,1,3,1
P00230,SALES,P1,1,5,2,0,1,3,1
P00231,SALES,P1,1,4,1,0,0,3,3
P00232,SALES,P1,1,4,2,1,1,4,2
P00233,SALES,P1,0,0,0,0,0,0,0
P00234,SALES,P1,1,5,2,0,0,4,3
P00235,SALES,P1,1,3,1,0,0,3,2
P00236,SALES,P1,1,4,1,1,1,3,2
P00237,SALES,P1,1,4,0,0,0,3,2
P00238,SALES,P1,1,4,1,0,0,3,3
P00239,SALES,P1,1,5,2,0,2,3,2
P00240,SALES,P1,0,0,0,0,0,0,0
P00241,SALES,P1,1,4,0,0,0,3,1
P00242,SALES,P1,1,3,1,0,0,4,3
P00243,SALES,P1,1,4,2,1,1,2,2
P00244,SALES,P1,1,4,2,1,1,3,1
P00245,SALES,P1,1,4,2,0,1,4,3
P00246,SALES,P1,1,3,0,0,0,2,2
P00247,SALES,P1,1,4,2,0,2,2,2
P00248,SALES,P1,1,4,0,1,0,4,4
P00249,SALES,P1,1,3,1,0,0,3,0
P00250,SALES,P1,1,3,1,0,0,4,2
P00251,SALES,P1,1,3,0,0,0,3,2
P00252,SALES,P1,1,4,0,0,0,3,3
P00253,SALES,P1,1,3,1,0,0,3,3
P00254,SALES,P1,1,5,0,0,0,3,0
P00255,SALES,P1,1,5,3,1,1,4,3
P00256,SALES,P1,1,5,1,1,0,2,0
P00257,SALES,P1,1,4,2,0,0,3,2
P00258,SALES,P1,1,4,0,0,0,3,2
P00259,SALES,P1,1,5,1,0,0,4,4
P00260,SALES,P1,1,4,2,1,1,4,3
P00261,SALES,P1,1,4,2,0,1,3,3
P00262,SALES,P1,1,3,1,0,0,3,3
P00263,SALES,P1,1,3,1,0,1,3,2
P00264,SALES,P1,1,3,0,1,0,4,4
P00265,SALES,P1,1,5,3,0,2,3,2
P00266,SALES,P1,1,4,3,0,1,3,0
P00267,SALES,P1,1,3,3,0,3,3,3
P00268,SALES,P1,1,3,1,0,0,3,3
P00269,SALES,P1,0,0,0,0,0,0,0
P00270,SALES,P1,0,0,0,0,0,0,0
P00271,SALES,P1,1,4,1,0,1,3,2
P00272,SALES,P1,1,3,0,0,0,4,4
P00273,SALES,P1,1,4,0,0,0,4,3
P00274,SALES,P1,1,4,0,0,0,4,3
P00275,SALES,P1,1,4,1,0,1,2,1
P00276,SALES,P1,1,4,1,0,0,2,1
P00277,SALES,P1,1,4,1,0,1,2,2
P00278,SALES,P1,1,4,1,0,1,2,1
P00279,SALES,P1,1,3,1,0,0,3,2
P00280,SALES,P1,1,5,1,2,0,3,3
P00281,FIN,P1,1,3,1,0,1,4,4
P00282,FIN,P1,1,5,2,2,2,3,3
P00283,FIN,P1,1,3,0,1,0,4,4
P00284,FIN,P1,1,3,1,1,0,4,4
P00285,FIN,P1,1,3,0,2,0,3,3
P00286,FIN,P1,1,4,0,2,0,3,3
P00287,FIN,P1,1,3,0,0,0,3,3
P00288,FIN,P1,1,3,1,0,0,4,3
P00289,FIN,P1,1,4,1,1,1,3,3
P00290,FIN,P1,1,5,2,0,1,3,3
P00291,FIN,P1,1,4,1,2,0,3,2
P00292,FIN,P1,1,3,0,0,0,4,4
P00293,FIN,P1,1,4,0,1,0,3,3
P00294,FIN,P1,1,4,1,2,1,4,3
P00295,FIN,P1,1,4,2,0,1,2,2
P00296,FIN,P1,1,5,1,1,0,3,3
P00297,FIN,P1,1,3,1,1,0,3,3
P00298,FIN,P1,1,5,2,0,2,2,2
P00299,FIN,P1,1,4,0,0,0,3,3
P00300,FIN,P1,1,4,0,1,0,3,2
P00301,FIN,P1,1,4,0,1,0,4,3
P00302,FIN,P1,1,3,0,1,0,3,3
P00303,FIN,P1,1,3,0,1,0,4,4
P00304,FIN,P1,1,5,3,0,0,3,3
P00305,FIN,P1,1,3,1,2,0,2,2
P00306,FIN,P1,1,4,0,2,0,3,2
P00307,FIN,P1,1,4,0,0,0,2,2
P00308,FIN,P1,1,5,0,3,0,4,4
P00309,FIN,P1,1,4,1,1,0,3,3
P00310,FIN,P1,1,4,0,1,0,4,4
P00311,FIN,P1,1,4,1,0,0,3,2
P00312,FIN,P1,1,4,0,2,0,2,2
